game_id,off_player_id,off_team_id,def_player_id,def_team_id,matchup_min,partial_poss,pct_defender_total_time,pct_off_total_time,pct_total_time_both_on,player_pts,team_pts,matchup_ast,matchup_tov,matchup_blk,matchup_fgm,matchup_fga,matchup_fg3m,matchup_fg3a,matchup_ftm,matchup_fta,sfl
0042000171,1629740,1610612742,202695,1610612746,0:01,0.08,0.001,0.004,0.021,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1629740,1610612742,202694,1610612746,0:08,0.71,0.012,0.037,0.196,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,1629740,1610612742,200765,1610612746,1:00,3.09,0.128,0.298,0.297,0,0,0,0,0,0,1,0,0,0,0,0
0042000171,203939,1610612742,201587,1610612746,0:28,1.09,0.043,0.158,0.156,0,4,0,0,0,0,0,0,0,0,0,0
0042000171,203939,1610612742,202331,1610612746,0:16,0.63,0.02,0.092,0.122,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,203939,1610612742,201586,1610612746,0:45,2.27,0.163,0.256,0.429,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,203939,1610612742,202704,1610612746,0:15,1.0,0.035,0.087,0.086,0,2,0,0,0,0,1,0,0,0,0,0
0042000171,203939,1610612742,202695,1610612746,0:16,0.64,0.019,0.089,0.18,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,203939,1610612742,202694,1610612746,0:39,2.46,0.061,0.222,0.571,0,7,0,0,0,0,0,0,0,0,0,0
0042000171,203939,1610612742,200765,1610612746,0:17,0.66,0.037,0.1,0.129,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202695,1610612746,1628973,1610612742,0:46,3.07,0.104,0.051,0.156,2,4,0,0,0,1,1,0,0,0,1,0
0042000171,202695,1610612746,1626161,1610612742,0:01,0.14,0.02,0.002,0.02,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202695,1610612746,1629029,1610612742,1:55,5.77,0.137,0.13,0.146,2,11,1,0,0,1,2,0,0,0,0,0
0042000171,202695,1610612746,1627827,1610612742,1:32,4.83,0.115,0.104,0.115,2,6,0,0,0,0,1,0,1,2,2,1
0042000171,202695,1610612746,203501,1610612742,0:50,2.75,0.066,0.057,0.075,2,5,0,0,0,1,4,0,1,0,0,0
0042000171,202695,1610612746,1628467,1610612742,7:47,29.21,0.609,0.529,0.609,16,35,1,0,0,5,10,1,4,5,6,2
0042000171,202695,1610612746,1629740,1610612742,0:24,0.66,0.128,0.027,0.542,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,202695,1610612746,204001,1610612742,0:56,3.02,0.069,0.063,0.078,0,5,1,0,0,0,3,0,0,0,0,1
0042000171,202695,1610612746,203939,1610612742,0:02,0.11,0.02,0.003,0.033,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202695,1610612746,1626196,1610612742,0:44,2.48,0.124,0.05,0.208,0,3,1,0,0,0,0,0,0,0,0,0
0042000171,202694,1610612746,1628973,1610612742,0:21,1.68,0.048,0.029,0.1,0,7,0,0,0,0,0,0,0,0,0,0
0042000171,202694,1610612746,1629029,1610612742,3:56,14.68,0.282,0.323,0.39,0,7,0,0,1,0,1,0,1,0,0,0
0042000171,202694,1610612746,1627827,1610612742,1:51,7.02,0.14,0.152,0.177,0,20,1,0,0,0,1,0,1,0,2,1
0042000171,202694,1610612746,203501,1610612742,2:52,8.73,0.224,0.235,0.269,4,6,0,0,0,2,2,0,0,0,0,0
0042000171,202694,1610612746,1628467,1610612742,1:07,3.33,0.088,0.092,0.116,0,6,0,0,0,0,0,0,0,0,0,0
0042000171,202694,1610612746,1629740,1610612742,0:05,0.11,0.029,0.007,0.069,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202694,1610612746,204001,1610612742,0:53,2.11,0.065,0.072,0.08,0,2,0,0,0,0,2,0,2,0,0,0
