Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Daniel Oturu,2018-19,Minnesota,Big Ten,FR,35,31,23.8,4.3,7.9,.551,4.3,7.8,.551,0.0,0.1,.500,2.1,3.3,.615,2.5,4.5,7.0,0.5,0.5,1.3,1.5,2.7,10.8,,11.27
Daniel Oturu,2019-20,Minnesota,Big Ten,SO,31,31,33.9,7.7,13.6,.563,7.1,12.0,.590,0.6,1.7,.365,4.1,5.8,.707,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,,11.55
Xavier Tillman Sr.,2017-18,Michigan State,Big Ten,FR,35,0,8.7,1.1,1.7,.650,1.1,1.7,.650,0.0,0.0,,0.6,0.9,.656,1.0,1.6,2.6,0.3,0.3,0.7,0.5,1.0,2.8,,7.10
Xavier Tillman Sr.,2018-19,Michigan State,Big Ten,SO,39,14,24.0,3.7,6.1,.605,3.5,5.4,.645,0.2,0.7,.296,2.4,3.3,.732,2.5,4.8,7.3,1.6,0.9,1.7,1.5,2.8,10.0,,12.34
Xavier Tillman Sr.,2019-20,Michigan State,Big Ten,JR,31,31,32.1,5.3,9.7,.550,4.9,8.1,.608,0.4,1.6,.260,2.6,4.0,.667,2.7,7.6,10.3,3.0,1.2,2.1,2.0,2.6,13.7,,10.76
Tyler Bey,2017-18,Colorado,Pac-12,FR,32,21,19.7,2.3,4.5,.503,2.3,4.3,.525,0.0,0.2,.000,1.6,2.3,.685,1.5,3.6,5.1,0.5,0.6,0.7,1.2,2.6,6.1,,7.00
Tyler Bey,2018-19,Colorado,Pac-12,SO,36,36,26.3,5.1,9.4,.541,5.0,8.8,.563,0.1,0.6,.227,3.2,4.1,.782,2.1,7.7,9.9,0.6,0.8,1.2,2.0,2.3,13.6,,3.60
Tyler Bey,2019-20,Colorado,Pac-12,JR,31,30,29.0,4.5,8.5,.530,4.1,7.5,.545,0.4,1.0,.419,4.4,5.9,.743,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,,8.31
Saben Lee,2017-18,Vanderbilt,SEC,FR,32,29,26.8,3.6,7.8,.462,2.9,5.4,.529,0.7,2.3,.307,2.7,3.7,.726,0.7,2.3,3.0,3.1,1.2,0.2,2.2,2.4,10.6,,10.14
Saben Lee,2018-19,Vanderbilt,SEC,SO,32,32,32.6,3.9,8.5,.460,3.1,6.3,.493,0.8,2.2,.362,4.1,6.1,.675,0.4,2.9,3.3,3.8,1.0,0.2,2.8,1.9,12.7,,7.79
Saben Lee,2019-20,Vanderbilt,SEC,JR,32,17,32.9,6.3,12.9,.483,5.0,9.2,.549,1.2,3.8,.322,4.8,6.4,.752,0.6,3.0,3.5,4.2,1.5,0.3,3.1,1.8,18.6,,6.41
Elijah Hughes,2016-17,East Carolina,AAC,FR,25,7,20.5,2.3,6.6,.349,1.4,3.1,.436,1.0,3.5,.273,2.2,3.2,.684,0.4,1.9,2.3,1.3,0.6,0.4,1.0,1.8,7.8,,1.33
Elijah Hughes,2017-18-RS,Syracuse,ACC,Transfer
Elijah Hughes,2018-19,Syracuse,ACC,SO,34,34,32.7,4.6,10.9,.420,2.0,3.9,.511,2.6,6.9,.369,2.0,2.7,.742,0.7,3.6,4.3,1.5,1.2,0.8,1.9,2.1,13.7,,10.09
Elijah Hughes,2019-20,Syracuse,ACC,JR,32,32,36.7,6.2,14.5,.427,3.8,7.4,.508,2.4,7.1,.342,4.2,5.2,.813,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,,7.26
Robert Woodard II,2018-19,Mississippi State,SEC,FR,34,1,17.5,2.1,4.6,.468,1.8,3.3,.545,0.4,1.3,.273,0.9,1.5,.580,1.4,2.7,4.1,0.7,0.5,0.5,0.6,1.1,5.5,,9.07
Robert Woodard II,2019-20,Mississippi State,SEC,SO,31,31,33.1,4.4,8.9,.495,3.4,6.6,.517,1.0,2.3,.429,1.6,2.5,.641,2.2,4.4,6.5,1.3,1.1,1.0,1.9,1.9,11.4,,6.96
Tre Jones,2018-19,Duke,ACC,FR,36,36,34.2,3.7,8.9,.414,2.9,6.0,.486,0.8,2.9,.262,1.3,1.7,.758,0.9,2.9,3.8,5.3,1.9,0.2,1.5,1.6,9.4,,11.98
Tre Jones,2019-20,Duke,ACC,SO,29,29,35.4,5.6,13.2,.423,4.2,9.5,.447,1.3,3.7,.361,3.7,4.8,.771,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,,8.00
Nick Richards,2017-18,Kentucky,SEC,FR,37,37,14.7,1.9,3.0,.616,1.9,3.0,.616,0.0,0.0,,1.4,1.9,.718,1.5,2.9,4.4,0.2,0.1,0.9,0.7,2.1,5.1,,10.73
Nick Richards,2018-19,Kentucky,SEC,SO,37,3,12.1,1.3,2.2,.598,1.3,2.2,.598,0.0,0.0,,1.3,1.9,.690,1.5,1.8,3.3,0.2,0.1,1.3,0.7,2.1,4.0,,10.29
Nick Richards,2019-20,Kentucky,SEC,JR,31,30,29.6,5.3,8.2,.642,5.3,8.2,.642,0.0,0.0,,3.5,4.7,.752,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,,7.46
Jahmi'us Ramsey,2019-20,Texas Tech,Big 12,FR,27,27,31.2,5.5,12.4,.442,3.3,7.2,.454,2.2,5.2,.426,1.9,2.9,.641,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,,8.41
Jordan Nwora,2017-18,Louisville,ACC,FR,28,0,12.0,1.9,4.0,.464,1.0,2.0,.491,0.9,2.0,.439,1.1,1.4,.769,0.5,1.7,2.2,0.4,0.6,0.1,0.8,1.3,5.7,,9.07
Jordan Nwora,2018-19,Louisville,ACC,SO,34,29,31.9,5.8,13.1,.446,3.6,7.0,.508,2.3,6.1,.374,3.1,4.0,.765,1.2,6.5,7.6,1.3,0.9,0.4,2.4,2.1,17.0,,11.04
Jordan Nwora,2019-20,Louisville,ACC,JR,31,30,33.1,6.1,13.9,.440,3.6,7.8,.469,2.5,6.1,.402,3.4,4.1,.813,1.7,6.0,7.7,1.3,0.7,0.3,2.1,2.2,18.0,,7.55
CJ Elleby,2018-19,Washington State,Pac-12,FR,32,28,31.0,5.3,12.0,.436,3.6,8.0,.447,1.7,4.0,.414,2.6,3.9,.661,1.6,5.5,7.1,3.0,1.0,0.6,3.0,2.6,14.7,,2.20
CJ Elleby,2019-20,Washington State,Pac-12,SO,32,32,33.4,6.2,15.6,.396,3.8,8.8,.439,2.3,6.8,.339,3.8,4.6,.823,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,,4.94
